Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10255-1","Creator Expert","Modular Buildings Collection",2017,"Assembly Square",9,4002,259.99,299.99,339.99,299.99,5702015865272,,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,231.6500,200.8600,"01/01/2017","31/12/2023"
"75192-1","Star Wars","Ultimate Collector Series",2017,"Millennium Falcon",8,7541,734.99,849.99,1049.99,849.99,5702015869935,,53.3,46,38.5,,"",0,0,0,,0,0,,,,,,,,,707.0800,550.5400,"01/10/2017","31/12/2023"
"10270-1","Creator Expert","Modular Buildings Collection",2020,"Bookshop",5,2504,169.99,199.99,249.99,199.99,5702016667974,,57.8,37.3,10.2,2.946,"",0,0,0,,0,0,,,,,,,,,156.3700,149.9100,"01/01/2020","31/12/2023"
"75292-1","Star Wars","The Mandalorian",2020,"The Razor Crest",5,1023,119.99,139.99,179.99,139.99,5702016683325,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,125.5700,93.6400,"01/09/2020","31/12/2023"
"10266-1","Creator Expert","Space",2019,"NASA Apollo 11 Lunar Lander",2,1087,89.99,99.99,139.99,99.99,5702016368277,673419302432,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,88.3000,62.1800,"01/06/2019","31/12/2023"
"21318-1","Ideas","",2019,"Tree House",4,3036,214.99,249.99,309.99,249.99,5702016554205,,58,47.5,12,3.8,"",0,0,0,,0,0,,,,,,,,,188.3300,166.8700,"01/08/2019","31/12/2023"
"10281-1","Icons","Botanical Collection",2021,"Bonsai Tree",,878,44.99,49.99,69.99,49.99,5702016914177,,26.2,38.2,7.1,0.76,"",0,0,0,,0,0,,,,,,,,,45.3500,30.1500,"01/01/2021","31/12/2024"
"21325-1","Ideas","",2021,"Medieval Blacksmith",4,2164,159.99,179.99,229.99,179.99,5702016911985,,47.8,37.4,9.8,2.416,"",0,0,0,,0,0,,,,,,,,,147.1300,125.6700,"01/02/2021","31/12/2023"
"10278-1","Icons","Modular Buildings Collection",2021,"Police Station",5,2923,169.99,199.99,269.99,199.99,5702016913729,,57.7,47.6,11.8,4.012,"",0,0,0,,0,0,,,,,,,,,170.2700,152.4000,"01/01/2021","31/12/2024"
"10265-1","Creator Expert","Vehicles",2019,"Ford Mustang",,1471,149.99,169.99,209.99,169.99,5702016368260,673419302425,48,28.2,11.8,,"",0,0,0,,0,0,,,,,,,,,119.9300,99.8700,"01/03/2019","31/12/2023"
"75317-1","BrickHeadz","Star Wars",2020,"The Mandalorian & The Child",,295,17.99,19.99,24.99,19.99,5702016899856,,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,17.0400,10.6400,"01/08/2020","31/12/2023"
"71043-1","Harry Potter","General",2018,"Hogwarts Castle",28,6020,409.99,469.99,589.99,469.99,5702016110319,,58.5,49,19,,"",0,0,0,,0,0,,,,,,,,,373.1000,321.4300,"01/09/2018","31/12/2024"
"75290-1","Star Wars","Master Builder Series",2020,"Mos Eisley Cantina",21,3187,344.99,399.99,499.99,399.99,5702016663495,,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,348.1200,269.8900,"01/10/2020","31/12/2023"
"75288-1","Star Wars","Episode V",2020,"AT-AT",6,1267,149.99,169.99,209.99,169.99,5702016617320,673419318532,58.2,37.8,8.7,1.78,"",0,0,0,,0,0,,,,,,,,,135.8100,108.4400,"01/08/2020","31/12/2023"
"21034-1","Architecture","Skylines",2017,"London",,468,34.99,39.99,49.99,39.99,5702015865333,673419264419,26.2,19.1,6.1,0.62,"",0,0,0,,0,0,,,,,,,,,32.5700,22.0300,"01/01/2017","31/12/2024"
"40220-1","Creator","Promotional",2016,"London Bus",,118,,9.99,11.99,,5702015595407,,14,20.1,6,,"",0,0,0,,0,0,,,,,,,,,13.2200,7.2000,"01/06/2016","31/12/2023"
"10280-1","Icons","Botanical Collection",2021,"Flower Bouquet",,756,54.99,59.99,79.99,59.99,5702016913767,673419340526,26.2,38.2,7.1,0.76,"",0,0,0,,0,0,,,,,,,,,46.9500,36.7300,"01/01/2021","31/12/2024"
"75300-1","Star Wars","Episode IV",2021,"Imperial TIE Fighter",3,432,39.99,44.99,59.99,44.99,5702016913606,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,37.6200,26.8900,"01/01/2021","31/12/2023"
"75301-1","Star Wars","Episode IV",2021,"Luke Skywalker's X-wing Fighter",4,474,44.99,49.99,69.99,49.99,5702016913965,,38.2,26.2,7.1,0.71,"",0,0,0,,0,0,,,,,,,,,44.2500,37.7700,"01/01/2021","31/12/2023"
"10297-1","Icons","Modular Buildings Collection",2022,"Boutique Hotel",7,3066,199.99,229.99,289.99,229.99,5702017151847,,58.2,48,12.4,3.471,"",0,0,0,,0,0,,,,,,,,,204.1900,170.0400,"01/01/2022","31/12/2025"
"21028-1","Architecture","Skylines",2016,"New York City",,598,44.99,59.99,74.99,49.99,5702015591218,673419247160,26.2,19.1,6.1,0.72,"",0,0,0,,0,0,,,,,,,,,40.3600,24.6900,"01/01/2016","31/12/2024"
"75318-1","Star Wars","The Mandalorian",2020,"The Child",1,1073,79.99,89.99,109.99,89.99,5702016928570,,26.2,38.2,11.8,,"",0,0,0,,0,0,,,,,,,,,63.4800,41.4800,"30/10/2020","31/12/2023"
"75320-1","Star Wars","Episode V",2022,"Snowtrooper Battle Pack",4,105,17.99,19.99,24.99,19.99,5702017155067,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,17.8900,15.8700,"01/01/2022","31/12/2023"
"75968-1","Harry Potter","Chamber of Secrets",2020,"4 Privet Drive",6,797,69.99,79.99,99.99,79.99,5702016616682,673419317900,38.2,26.2,9.4,0.92,"",0,0,0,,0,0,,,,,,,,,53.2400,43.4400,"01/06/2020","31/12/2023"
"75312-1","Star Wars","The Mandalorian",2021,"Boba Fett's Starship",2,593,44.99,49.99,69.99,49.99,5702016913859,673419340601,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,40.1300,30.7600,"01/08/2021","31/12/2023"
"10273-1","Icons","Fairground Collection",2020,"Haunted House",10,3231,259.99,299.99,379.99,299.99,5702016668001,,48,58.2,12.4,,"",0,0,0,,0,0,,,,,,,,,223.0400,189.9600,"01/06/2020","31/12/2023"
"75969-1","Harry Potter","Half-Blood Prince",2020,"Hogwarts Astronomy Tower",8,971,89.99,99.99,139.99,99.99,5702016616699,673419317917,48,37.8,7.1,1.45,"",0,0,0,,0,0,,,,,,,,,80.4800,71.0500,"01/06/2020","31/12/2023"
